Agency/Label Name,Entity Type,Country,Artist Name,Genre,Contact/A&R Email,Website,Source,Notes
Albuquerque Records,Label,India,Anirudh Ravichander,Tamil Film / Pop,,,labels_agencies_roster,
Azadi Records,Label,India,Prabh Deep,Hip-Hop / Rap,,https://azadirecords.com,agent,
Azadi Records,Label,India,Seedhe Maut,Hip-Hop / Rap,,https://azadirecords.com,agent,
Azadi Records,Label,India,Ahmer,Hip-Hop / Rap (Kashmiri),,https://azadirecords.com,agent,
Azadi Records,Label,India,Tienas,Hip-Hop,,https://azadirecords.com,agent,
Azadi Records,Label,India,Swadesi,Hip-Hop / Marathi,,https://azadirecords.com,agent,
Azadi Records,Label,India,Triangles,Hip-Hop,,https://azadirecords.com,agent,
Azadi Records,Label,India,100RBH,Hip-Hop,,https://azadirecords.com,agent,
Azadi Records,Label,India,Ali Saffudin,Folk / Kashmiri,,https://azadirecords.com,agent,
Azadi Records,Label,India,Kim The Beloved,R&B / Alternative Hip-Hop,,https://azadirecords.com,agent,
Azadi Records,Label,India,Clifr,Hip-Hop / Electronic,,https://azadirecords.com,agent,
Azadi Records,Label,India,PAV4N,Hip-Hop,,https://azadirecords.com,agent,
Azadi Records,Label,India,Sid Vashi,Hip-Hop,,https://azadirecords.com,labels_agencies_roster,
Azadi Records,Label,India,Naezy,Hip-Hop,,https://azadirecords.com,labels_agencies_roster,
Azadi Records,Label,India,RAK,Hip-Hop,,https://azadirecords.com,labels_agencies_roster,
Azadi Records,Label,India,JELO,Hip-Hop,,https://azadirecords.com,labels_agencies_roster,
Azadi Records,Label,India,Gunda,Hip-Hop,,https://azadirecords.com,labels_agencies_roster,
Azadi Records,Label,India,Rebel 7,Hip-Hop,,https://azadirecords.com,labels_agencies_roster,
Azadi Records,Label,India,Vasu Raina,Hip-Hop,,https://azadirecords.com,labels_agencies_roster,
Azadi Records,Label,India,RANJ,Hip-Hop / R&B,,https://azadirecords.com,labels_agencies_roster,
Azadi Records,Label,India,Dizlaw,Hip-Hop,,https://azadirecords.com,labels_agencies_roster,
Azadi Records,Label,India,Pataka Boys,Hip-Hop,,https://azadirecords.com,labels_agencies_roster,
Azadi Records,Label,India,Kartik,Hip-Hop,,https://azadirecords.com,labels_agencies_roster,
Azadi Records,Label,India,SONNYJIM,Hip-Hop,,https://azadirecords.com,labels_agencies_roster,
Azadi Records,Label,India,Bantaiz,Hip-Hop,,https://azadirecords.com,labels_agencies_roster,
Azadi Records,Label,India,Straight Outta Srinagar (SOS),Hip-Hop,,https://azadirecords.com,labels_agencies_roster,
Desi Melodies,Label,India,Jaani,Punjabi,,,labels_agencies_roster,
Desi Melodies,Label,India,B Praak,Punjabi,,,labels_agencies_roster,
DL91,Label,India,Seedhe Maut,Hip-Hop,,,labels_agencies_roster,
DL91,Label,India,Hurricane,Hip-Hop,,,labels_agencies_roster,
DL91,Label,India,Lil Bhavi,Hip-Hop,,,labels_agencies_roster,
DL91,Label,India,AB-17,Hip-Hop,,,labels_agencies_roster,
DL91,Label,India,OG Lucifer,Hip-Hop,,,labels_agencies_roster,
DL91,Label,India,GhAatak,Hip-Hop,,,labels_agencies_roster,
DL91,Label,India,Bhaskar,Hip-Hop,,,labels_agencies_roster,
Dualism Records,Label,India,Dualist Inquiry,Electronic,,,labels_agencies_roster,
Gully Gang Entertainment,Label,India,DIVINE,Hip-Hop,,https://gullygang.in,labels_agencies_roster,
Gully Gang Entertainment,Label,India,MC Altaf,Hip-Hop,,https://gullygang.in,labels_agencies_roster,
Gully Gang Entertainment,Label,India,Sammohit,Hip-Hop,,https://gullygang.in,labels_agencies_roster,
Gully Gang Entertainment,Label,India,D'Evil,Hip-Hop,,https://gullygang.in,labels_agencies_roster,
Gully Gang Entertainment,Label,India,Afkap,Hip-Hop,,https://gullygang.in,labels_agencies_roster,
Gully Gang Entertainment,Label,India,Riar Saab,Punjabi Hip-Hop,,https://gullygang.in,labels_agencies_roster,
Gully Gang Entertainment,Label,India,Tsumyoki,I-Pop / Hip-Hop,,https://gullygang.in,labels_agencies_roster,
Gully Gang Entertainment,Label,India,Kaam Bhaari,Hip-Hop,,https://gullygang.in,labels_agencies_roster,
Gully Gang Entertainment,Label,India,Shah Rule,Hip-Hop,,https://gullygang.in,labels_agencies_roster,
Gully Gang Entertainment,Label,India,Stunnah Beatz,Hip-Hop / Production,,https://gullygang.in,labels_agencies_roster,
Gully Gang Entertainment,Label,India,Deeking,Hip-Hop,,https://gullygang.in,labels_agencies_roster,
